iter	Passed	Remaining
574	10446	25889
575	10455	25848
576	10464	25807
577	10473	25768
578	10483	25729
579	10492	25688
580	10503	25652
581	10511	25611
582	10521	25573
583	10531	25535
584	10542	25499
585	10550	25458
586	10559	25419
587	10571	25385
588	10581	25348
589	10592	25315
590	10601	25275
591	10610	25236
592	10620	25199
593	10629	25160
594	10638	25120
595	10647	25082
596	10656	25043
597	10665	25004
598	10674	24965
599	10682	24926
600	10692	24890
601	10701	24851
602	10710	24814
603	10719	24774
604	10728	24736
605	10737	24699
606	10746	24662
607	10755	24623
608	10764	24586
609	10775	24553
610	10783	24514
611	10793	24478
612	10803	24444
613	10812	24406
614	10820	24367
615	10828	24328
616	10836	24289
617	10845	24253
618	10854	24216
619	10865	24185
620	10883	24167
621	10904	24158
622	10922	24141
623	10939	24123
624	10949	24089
625	10960	24056
626	10971	24025
627	10983	23994
628	10993	23960
629	11003	23928
630	11014	23895
631	11024	23863
632	11035	23831
633	11045	23799
634	11056	23767
635	11066	23732
636	11077	23701
637	11087	23669
638	11099	23641
639	11110	23610
640	11120	23577
641	11132	23547
642	11143	23517
643	11154	23485
644	11167	23459
645	11177	23428
646	11190	23400
647	11201	23371
648	11214	23343
649	11224	23311
650	11239	23290
651	11276	23314
652	11293	23295
653	11307	23272
654	11324	23254
655	11335	23224
656	11346	23192
657	11360	23170
658	11372	23141
659	11382	23110
660	11393	23080
661	11404	23049
662	11416	23021
663	11428	22994
664	11437	22961
665	11449	22933
666	11459	22901
667	11470	22872
668	11481	22842
669	11490	22808
670	11500	22777
671	11512	22751
672	11520	22715
673	11530	22683
674	11539	22652
675	11549	22619
676	11559	22589
677	11569	22559
678	11578	22527
679	11589	22498
680	11598	22465
681	11608	22434
682	11616	22399
683	11627	22370
684	11636	22338
685	11645	22307
686	11654	22274
687	11662	22240
688	11672	22210
689	11681	22177
690	11689	22144
691	11698	22111
692	11708	22081
693	11717	22050
694	11727	22020
695	11737	21990
696	11746	21959
697	11755	21928
698	11764	21896
699	11773	21864
700	11782	21834
701	11791	21803
702	11801	21773
703	11811	21743
704	11822	21715
705	11831	21685
706	11842	21657
707	11852	21629
708	11861	21598
709	11871	21569
710	11884	21545
711	11893	21515
712	11902	21485
713	11912	21456
714	11921	21425
715	11931	21395
716	11939	21365
717	11948	21334
718	11957	21304
719	11965	21272
720	11974	21242
721	11983	21211
722	11992	21181
723	12001	21151
724	12010	21122
725	12020	21093
726	12030	21065
727	12038	21035
728	12047	21004
729	12056	20974
730	12064	20942
731	12073	20914
732	12082	20884
733	12091	20854
734	12099	20823
735	12108	20795
736	12116	20764
737	12125	20735
738	12135	20707
739	12145	20679
740	12155	20652
741	12163	20622
742	12172	20594
743	12183	20567
744	12194	20541
745	12201	20510
746	12210	20481
747	12220	20454
748	12230	20426
749	12238	20397
750	12247	20368
751	12257	20342
752	12267	20316
753	12277	20288
754	12286	20261
755	12296	20233
756	12306	20206
757	12316	20181
758	12326	20153
759	12335	20126
760	12344	20098
761	12352	20069
762	12361	20041
763	12370	20012
764	12380	19986
765	12389	19959
766	12399	19932
767	12407	19904
768	12416	19876
769	12426	19850
770	12436	19824
771	12444	19795
772	12454	19769
773	12464	19742
774	12472	19714
775	12482	19688
776	12492	19663
777	12501	19635
778	12509	19607
779	12517	19578
780	12527	19553
781	12535	19524
782	12545	19499
783	12555	19474
784	12564	19447
785	12574	19421
786	12583	19395
787	12592	19367
788	12601	19341
789	12611	19317
790	12621	19291
791	12630	19264
792	12638	19237
793	12647	19210
794	12656	19183
795	12664	19156
796	12673	19129
797	12681	19101
798	12691	19076
799	12701	19051
800	12710	19026
801	12719	19000
802	12730	18976
803	12738	18949
804	12747	18923
805	12762	18905
806	12770	18879
807	12780	18853
808	12788	18827
809	12797	18801
810	12807	18777
811	12817	18753
812	12826	18727
813	12836	18703
814	12846	18678
815	12853	18650
816	12863	18626
817	12873	18601
818	12882	18576
819	12891	18551
820	12899	18524
821	12908	18499
822	12918	18475
823	12928	18450
824	12937	18425
825	12946	18400
826	12956	18376
827	12966	18354
828	12975	18328
829	12982	18300
830	12990	18273
831	12998	18248
832	13008	18224
833	13018	18200
834	13028	18177
835	13036	18151
836	13044	18124
837	13054	18101
838	13062	18075
839	13071	18051
840	13082	18029
841	13091	18004
842	13100	17980
843	13109	17955
844	13117	17929
845	13126	17905
846	13135	17881
847	13144	17856
848	13153	17832
849	13163	17808
850	13170	17782
851	13179	17758
852	13188	17733
853	13197	17710
854	13205	17684
855	13214	17660
856	13223	17636
857	13232	17612
858	13241	17588
859	13250	17565
860	13258	17539
861	13269	17518
862	13278	17493
863	13288	17472
864	13298	17450
865	13308	17427
866	13316	17402
867	13324	17377
868	13335	17355
869	13343	17331
870	13352	17307
871	13361	17283
872	13371	17261
873	13380	17238
874	13391	17217
875	13400	17194
876	13409	17170
877	13418	17146
878	13426	17123
879	13435	17099
880	13444	17076
881	13453	17053
882	13463	17031
883	13472	17008
884	13482	16986
885	13492	16964
886	13501	16941
887	13510	16918
888	13519	16895
889	13529	16873
890	13537	16849
891	13546	16827
892	13555	16804
893	13564	16780
894	13572	16756
895	13580	16733
896	13590	16711
897	13599	16688
898	13608	16665
899	13617	16643
900	13626	16621
901	13636	16599
902	13644	16575
903	13652	16552
904	13660	16528
905	13670	16507
906	13678	16483
907	13686	16460
908	13695	16437
909	13705	16416
910	13716	16396
911	13725	16374
912	13734	16351
913	13742	16328
914	13755	16310
915	13762	16286
916	13772	16265
917	13782	16244
918	13790	16221
919	13799	16199
920	13806	16175
921	13814	16152
922	13825	16131
923	13833	16109
924	13841	16086
925	13851	16065
926	13859	16042
927	13870	16022
